idUcapanMotivasi,Kelolosan,Ucapan
26,1,Langkahmu telah membuktikan bahwa ketekunan dan kerja keras membuahkan hasil. Lanjutkan semangat itu di setiap langkahmu.
27,1,Teruslah memperluas batas kemampuanmu. Kesempatan ini adalah awal dari perjalanan yang menarik dan penuh makna.
28,0,Ingatlah bahwa kegagalan adalah bagian dari perjalanan menuju kesuksesan. Teruslah berusaha dan teruslah berjuang.
29,1,Jadilah sumber inspirasi bagi mereka yang memandangimu. Kesuksesanmu adalah motivasi bagi mereka yang mengikuti jejakmu.
30,0,Ingatlah bahwa bahkan yang paling sukses pun pernah mengalami kegagalan. Teruslah berusaha dan percaya pada dirimu sendiri.
31,1,Jadilah sumber inspirasi bagi mereka yang berada di sekelilingmu. Kamu memiliki kekuatan untuk membuat perbedaan yang positif.
32,0,"Kamu memiliki potensi yang luar biasa, jadi jangan biarkan satu kegagalan menghentikanmu. Teruslah mencapai impianmu."
33,0,Kegagalan adalah bagian dari perjalanan menuju kesuksesan. Jadikan ini sebagai kesempatan untuk belajar dan tumbuh.
34,0,Jangan biarkan kegagalan menghentikan semangatmu. Gunakan ini sebagai pemicu untuk berkembang dan tumbuh.
35,1,Teruslah bergerak maju dengan keberanian dan tekadmu. Kamu memiliki potensi besar untuk mencapai lebih banyak hal yang luar biasa.
36,1,Kamu telah membuktikan bahwa tak ada yang tak mungkin jika kita bersungguh-sungguh. Teruslah mengejar impianmu.
37,0,"Meskipun kamu tidak lolos kali ini, ini bukanlah akhir dari impianmu. Teruslah mengejar apa yang kamu inginkan."
38,1,Selamat atas perjalananmu yang luar biasa. Ini adalah kesempatan besar untuk menginspirasi dan memimpin orang lain.
39,0,"Kamu mungkin tidak lolos kali ini, tetapi jangan biarkan itu merusak keyakinanmu pada dirimu sendiri. Percayalah bahwa kesempatan baru akan datang."
40,0,Keputusan ini bukanlah penentu akhir dari kemampuanmu. Teruslah percaya pada dirimu dan teruslah berjuang.
41,1,Keberhasilanmu adalah hasil dari kerja kerasmu yang tak kenal lelah. Teruslah berjuang dan jadilah teladan bagi yang lain.
42,1,Lolos BEM adalah bukti bahwa kamu memiliki potensi luar biasa. Gunakan kesempatan ini untuk berkontribusi secara positif.
43,0,Terima kegagalan sebagai bagian dari proses menuju kesuksesan. Tetaplah bertekad untuk mencapai impianmu.
44,1,Kegigihanmu telah membuka pintu kesempatan. Gunakanlah kesempatan ini untuk memberikan dampak yang positif.
45,1,Jadilah agen perubahan yang positif di lingkunganmu. Kamu memiliki kesempatan untuk membuat perbedaan yang signifikan.
46,1,Jalani peranmu dengan integritas dan keberanian. Dunia membutuhkan pemimpin seperti dirimu.
47,0,Terima kegagalan sebagai bagian dari proses belajarmu. Tetaplah rendah hati dan teruslah berusaha untuk menjadi lebih baik.
48,1,Selamat atas pencapaianmu yang luar biasa. Lanjutkan semangatmu untuk mencapai lebih banyak hal yang hebat.
49,0,Tetaplah berpikir positif dan fokus pada tujuanmu. Kamu memiliki kemampuan untuk mengatasi rintangan ini.
50,0,Kegagalan hari ini adalah kesempatan untuk belajar dan tumbuh. Teruslah berusaha untuk menjadi versi terbaik dari dirimu sendiri.
51,0,Kegagalan hari ini adalah bagian dari kisah kesuksesanmu yang akan datang. Teruslah berjuang dan jangan menyerah.
52,1,Keberhasilanmu adalah bukti bahwa impian dapat menjadi kenyataan jika kita bekerja keras untuk mewujudkannya.
53,1,Kesempatan ini adalah panggungmu untuk bersinar. Manfaatkanlah dengan baik untuk membawa perubahan yang positif.
54,0,Jangan biarkan satu kegagalan merusak keyakinanmu pada dirimu sendiri. Kamu memiliki potensi yang luar biasa.
55,0,"Kamu memiliki potensi yang luar biasa, jadi jangan biarkan satu kegagalan menghalangi langkahmu. Teruslah maju."
56,0,Jangan biarkan kekecewaan menghentikan langkahmu. Gunakan energimu untuk mempersiapkan diri untuk perjuangan berikutnya.
57,1,Ketekunanmu patut diapresiasi. Teruslah berjuang untuk mewujudkan visi dan misimu.
58,1,Kamu adalah bukti hidup bahwa ketekunan dan kerja keras selalu membuahkan hasil. Teruslah menjadi inspirasi bagi yang lain.
59,0,Kegagalan adalah pendorong untuk mencapai yang lebih baik. Teruslah berusaha dan jangan pernah menyerah.
60,0,Kegagalan hari ini akan membuatmu lebih kuat dan lebih bijaksana. Teruslah maju dengan semangat dan tekad yang kuat.
